date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2024-03-11,68955.88,68955.88,68955.9,68955.9,68480.76,68480.76,68541.41,68541.41,1019.19089,1019.19089
2024-03-10,68313.28,68313.28,69887.61,69887.61,68094.75,68094.75,68955.88,68955.88,38404.66835,38404.66835
2024-03-09,68124.2,68124.2,68541.1,68541.1,67861.1,67861.1,68313.27,68313.27,19872.89743,19872.89743
2024-03-08,66823.18,66823.18,69990.0,69990.0,66082.66,66082.66,68124.19,68124.19,74261.932842,74261.932842
2024-03-07,66074.04,66074.04,67980.0,67980.0,65551.0,65551.0,66823.17,66823.17,53059.8869,53059.8869
2024-03-06,63724.01,63724.01,67641.1,67641.1,62779.14,62779.14,66074.04,66074.04,78738.85491,78738.85491
2024-03-05,68245.71,68245.71,69000.0,69000.0,59005.0,59005.0,63724.01,63724.01,132696.7813,132696.7813
2024-03-04,63113.97,63113.97,68499.0,68499.0,62300.0,62300.0,68245.71,68245.71,84835.16005,84835.16005
2024-03-03,61987.28,61987.28,63231.88,63231.88,61320.0,61320.0,63113.97,63113.97,28994.90903,28994.90903
2024-03-02,62387.9,62387.9,62433.19,62433.19,61561.12,61561.12,61987.28,61987.28,25534.73659,25534.73659
2024-03-01,61130.99,61130.99,63114.23,63114.23,60777.0,60777.0,62387.9,62387.9,47737.93473,47737.93473
2024-02-29,62432.11,62432.11,63676.35,63676.35,60364.7,60364.7,61130.98,61130.98,78425.07603,78425.07603
2024-02-28,57037.35,57037.35,64000.0,64000.0,56691.85,56691.85,62432.1,62432.1,118763.46984,118763.46984
2024-02-27,54476.48,54476.48,57588.15,57588.15,54450.13,54450.13,57037.34,57037.34,67194.98562,67194.98562
2024-02-26,51728.85,51728.85,54910.0,54910.0,50901.44,50901.44,54476.47,54476.47,51256.72199,51256.72199
2024-02-25,51568.21,51568.21,51958.55,51958.55,51279.8,51279.8,51728.85,51728.85,18721.63159,18721.63159
2024-02-24,50744.15,50744.15,51698.0,51698.0,50585.0,50585.0,51568.22,51568.22,16560.4211,16560.4211
2024-02-23,51288.42,51288.42,51548.54,51548.54,50521.0,50521.0,50744.15,50744.15,30545.79544,30545.79544
2024-02-22,51849.38,51849.38,52065.78,52065.78,50940.78,50940.78,51288.42,51288.42,35309.44574,35309.44574
2024-02-21,52258.82,52258.82,52366.8,52366.8,50625.0,50625.0,51849.39,51849.39,43079.40049,43079.40049
2024-02-20,51774.74,51774.74,52985.0,52985.0,50760.37,50760.37,52258.82,52258.82,49614.47318,49614.47318
2024-02-19,52137.68,52137.68,52488.77,52488.77,51677.0,51677.0,51774.73,51774.73,29534.99432,29534.99432
2024-02-18,51642.64,51642.64,52377.0,52377.0,51163.28,51163.28,52137.67,52137.67,21992.10363,21992.10363
2024-02-17,52124.1,52124.1,52162.82,52162.82,50625.0,50625.0,51642.64,51642.64,25674.00622,25674.00622
2024-02-16,51880.01,51880.01,52572.08,52572.08,51566.0,51566.0,52124.11,52124.11,37772.25318,37772.25318
2024-02-15,51795.17,51795.17,52816.62,52816.62,51314.0,51314.0,51880.0,51880.0,53816.03055,53816.03055
2024-02-14,49699.6,49699.6,52043.71,52043.71,49225.01,49225.01,51795.17,51795.17,57046.37401,57046.37401
2024-02-13,49917.28,49917.28,50368.61,50368.61,48300.95,48300.95,49699.59,49699.59,55551.56706,55551.56706
2024-02-12,48300.0,48300.0,50334.82,50334.82,47710.01,47710.01,49917.27,49917.27,59009.96705,59009.96705
2024-02-11,47751.08,47751.08,48592.66,48592.66,47557.16,47557.16,48299.99,48299.99,29958.80837,29958.80837
2024-02-10,47132.78,47132.78,48170.0,48170.0,46800.0,46800.0,47751.09,47751.09,24802.35936,24802.35936
2024-02-09,45288.66,45288.66,48200.0,48200.0,45242.12,45242.12,47132.77,47132.77,73503.481,73503.481
2024-02-08,44349.6,44349.6,45614.3,45614.3,44331.1,44331.1,45288.65,45288.65,45439.62231,45439.62231
2024-02-07,43098.96,43098.96,44396.5,44396.5,42788.0,42788.0,44349.6,44349.6,34392.59915,34392.59915
2024-02-06,42708.7,42708.7,43399.98,43399.98,42574.0,42574.0,43098.95,43098.95,24675.85433,24675.85433
2024-02-05,42582.88,42582.88,43569.76,43569.76,42258.1,42258.1,42708.7,42708.7,29467.75905,29467.75905
2024-02-04,43011.1,43011.1,43119.04,43119.04,42222.0,42222.0,42582.88,42582.88,17066.89404,17066.89404
2024-02-03,43199.99,43199.99,43380.01,43380.01,42880.0,42880.0,43011.09,43011.09,12033.40998,12033.40998
2024-02-02,43082.95,43082.95,43488.0,43488.0,42546.79,42546.79,43200.0,43200.0,29672.14418,29672.14418
2024-02-01,42580.0,42580.0,43285.13,43285.13,41884.28,41884.28,43082.94,43082.94,35231.04664,35231.04664
2024-01-31,42941.1,42941.1,43745.11,43745.11,42276.84,42276.84,42580.0,42580.0,39871.13688,39871.13688
2024-01-30,43302.71,43302.71,43882.36,43882.36,42683.99,42683.99,42941.1,42941.1,37619.24546,37619.24546
2024-01-29,42031.05,42031.05,43333.0,43333.0,41804.88,41804.88,43302.7,43302.7,31542.74207,31542.74207
2024-01-28,42120.63,42120.63,42842.68,42842.68,41620.81,41620.81,42031.06,42031.06,27294.99838,27294.99838
2024-01-27,41823.51,41823.51,42200.0,42200.0,41394.34,41394.34,42120.63,42120.63,16224.41667,16224.41667
2024-01-26,39961.09,39961.09,42246.82,42246.82,39822.52,39822.52,41823.51,41823.51,47384.96726,47384.96726
2024-01-25,40084.89,40084.89,40300.24,40300.24,39550.0,39550.0,39961.09,39961.09,31022.11853,31022.11853
2024-01-24,39897.59,39897.59,40555.0,40555.0,39484.19,39484.19,40084.88,40084.88,39293.82861,39293.82861
2024-01-23,39568.02,39568.02,40176.74,40176.74,38555.0,38555.0,39897.6,39897.6,57956.63351,57956.63351
2024-01-22,41580.32,41580.32,41689.65,41689.65,39431.58,39431.58,39568.02,39568.02,55426.19911,55426.19911
2024-01-21,41696.05,41696.05,41881.39,41881.39,41500.98,41500.98,41580.33,41580.33,11730.16301,11730.16301
2024-01-20,41659.03,41659.03,41872.56,41872.56,41456.3,41456.3,41696.04,41696.04,15923.99493,15923.99493
2024-01-19,41327.51,41327.51,42196.86,42196.86,40280.0,40280.0,41659.03,41659.03,48342.74559,48342.74559
2024-01-18,42776.09,42776.09,42930.0,42930.0,40683.28,40683.28,41327.5,41327.5,43907.51641,43907.51641
2024-01-17,43137.94,43137.94,43198.0,43198.0,42200.69,42200.69,42776.1,42776.1,33266.21388,33266.21388
2024-01-16,42511.1,42511.1,43578.01,43578.01,42050.0,42050.0,43137.95,43137.95,45045.74589,45045.74589
2024-01-15,41732.35,41732.35,43400.43,43400.43,41718.05,41718.05,42511.1,42511.1,40269.89303,40269.89303
2024-01-14,42847.99,42847.99,43079.0,43079.0,41720.0,41720.0,41732.35,41732.35,28228.40894,28228.40894
2024-01-13,42782.74,42782.74,43257.0,43257.0,42436.12,42436.12,42847.99,42847.99,36118.47464,36118.47464
2024-01-12,46339.16,46339.16,46515.53,46515.53,41500.0,41500.0,42782.73,42782.73,86327.93707,86327.93707
2024-01-11,46654.0,46654.0,48969.48,48969.48,45606.06,45606.06,46339.16,46339.16,87470.3296,87470.3296
2024-01-10,46110.0,46110.0,47695.93,47695.93,44300.36,44300.36,46653.99,46653.99,89911.41203,89911.41203
2024-01-09,46951.04,46951.04,47972.0,47972.0,44748.67,44748.67,46110.0,46110.0,69927.66617,69927.66617
2024-01-08,43929.01,43929.01,47248.99,47248.99,43175.0,43175.0,46951.04,46951.04,72814.57589,72814.57589
2024-01-07,43968.32,43968.32,44480.59,44480.59,43572.09,43572.09,43929.02,43929.02,23023.8508,23023.8508
2024-01-06,44145.12,44145.12,44214.42,44214.42,43397.05,43397.05,43968.32,43968.32,17835.06144,17835.06144
2024-01-05,44151.1,44151.1,44357.46,44357.46,42450.0,42450.0,44145.11,44145.11,48075.25327,48075.25327
2024-01-04,42845.23,42845.23,44729.58,44729.58,42613.77,42613.77,44151.1,44151.1,48038.06334,48038.06334
2024-01-03,44946.91,44946.91,45500.0,45500.0,40750.0,40750.0,42845.23,42845.23,81194.55173,81194.55173
2024-01-02,44179.55,44179.55,45879.63,45879.63,44148.34,44148.34,44946.91,44946.91,65146.40661,65146.40661
2024-01-01,42283.58,42283.58,44184.1,44184.1,42180.77,42180.77,44179.55,44179.55,27174.29903,27174.29903
2023-12-31,42140.29,42140.29,42899.0,42899.0,41965.84,41965.84,42283.58,42283.58,23585.91603,23585.91603
2023-12-30,42066.94,42066.94,42612.32,42612.32,41520.3,41520.3,42140.28,42140.28,22906.57818,22906.57818
2023-12-29,42563.76,42563.76,43111.0,43111.0,41300.0,41300.0,42066.95,42066.95,42597.18912,42597.18912
2023-12-28,43428.86,43428.86,43787.57,43787.57,42241.79,42241.79,42563.76,42563.76,35150.52485,35150.52485
2023-12-27,42508.93,42508.93,43677.0,43677.0,42098.69,42098.69,43428.85,43428.85,36191.21136,36191.21136
2023-12-26,43576.12,43576.12,43592.68,43592.68,41637.6,41637.6,42508.93,42508.93,41010.04282,41010.04282
2023-12-25,42991.5,42991.5,43802.32,43802.32,42720.43,42720.43,43576.13,43576.13,27021.23992,27021.23992
2023-12-24,43702.15,43702.15,43946.0,43946.0,42500.0,42500.0,42991.5,42991.5,25144.33496,25144.33496
2023-12-23,43969.04,43969.04,43988.68,43988.68,43291.1,43291.1,43702.16,43702.16,16557.1293,16557.1293
2023-12-22,43861.79,43861.79,44398.26,44398.26,43412.54,43412.54,43969.04,43969.04,32783.19638,32783.19638
2023-12-21,43668.92,43668.92,44242.35,44242.35,43286.72,43286.72,43861.8,43861.8,34624.29384,34624.29384
2023-12-20,42275.99,42275.99,44283.0,44283.0,42206.0,42206.0,43668.93,43668.93,48710.2947,48710.2947
2023-12-19,42657.8,42657.8,43497.0,43497.0,41811.1,41811.1,42275.99,42275.99,40927.86444,40927.86444
2023-12-18,41374.64,41374.64,42757.81,42757.81,40542.93,40542.93,42657.8,42657.8,46734.0925,46734.0925
2023-12-17,42278.02,42278.02,42424.07,42424.07,41252.0,41252.0,41374.65,41374.65,27722.11452,27722.11452
2023-12-16,41940.29,41940.29,42724.43,42724.43,41605.0,41605.0,42278.03,42278.03,24118.85747,24118.85747
2023-12-15,43022.26,43022.26,43080.81,43080.81,41666.0,41666.0,41940.3,41940.3,33421.7932,33421.7932
2023-12-14,42869.03,42869.03,43420.0,43420.0,41400.0,41400.0,43022.26,43022.26,42047.05709,42047.05709
2023-12-13,41492.38,41492.38,43475.2,43475.2,40555.0,40555.0,42869.03,42869.03,45865.99773,45865.99773
2023-12-12,41253.41,41253.41,42104.12,42104.12,40680.0,40680.0,41492.39,41492.39,42722.69773,42722.69773
2023-12-11,43789.5,43789.5,43804.5,43804.5,40222.0,40222.0,41253.4,41253.4,76663.89804,76663.89804
2023-12-10,43713.59,43713.59,44049.0,44049.0,43563.0,43563.0,43789.51,43789.51,18956.61758,18956.61758
2023-12-09,44171.0,44171.0,44358.02,44358.02,43584.51,43584.51,43713.6,43713.6,24925.97008,24925.97008
2023-12-08,43273.15,43273.15,44700.0,44700.0,43081.1,43081.1,44170.99,44170.99,42900.37556,42900.37556
2023-12-07,43762.69,43762.69,44047.33,44047.33,42821.1,42821.1,43273.14,43273.14,47103.26845,47103.26845
2023-12-06,44073.82,44073.82,44297.21,44297.21,43335.28,43335.28,43762.69,43762.69,51431.10492,51431.10492
